day_of_week,holiday,time_in_hour,status,previous_status,amount_per_day,full,range_knn,range_rf,day_in_year
1,0,11,60,81,20,0,0,3,1
2,0,12,20,15,96,0,0,1,2
3,0,5,12,45,35,0,0,1,3
4,0,10,67,74,33,0,0,3,4
5,0,22,16,89,27,0,0,1,5
6,1,15,87,44,48,1,1,4,6
7,1,15,3,94,59,0,0,1,7
1,0,5,73,66,59,0,0,3,8
2,0,3,7,45,69,0,0,1,9
3,0,8,73,7,77,0,0,3,10
4,0,11,63,23,50,0,0,3,11
5,0,7,12,85,45,0,0,1,12
6,1,22,97,34,93,1,1,4,13
7,1,10,100,68,25,1,1,4,14
1,0,17,48,7,24,0,0,2,15
2,0,0,16,48,99,0,0,1,16
3,0,4,48,96,61,0,0,2,17
4,0,1,26,58,38,0,0,2,18
5,0,10,45,64,29,0,0,2,19
6,1,12,79,83,25,0,1,4,20
7,1,0,32,88,20,0,0,2,21
1,0,16,69,66,34,0,0,3,22
2,0,8,10,50,37,0,0,1,23
3,0,12,32,55,99,0,0,2,24
4,0,8,11,48,50,0,0,1,25
5,0,19,38,1,50,0,0,2,26
6,1,14,25,69,69,0,0,1,27
7,1,11,98,64,95,1,1,4,28
1,0,7,94,14,97,1,1,4,29
2,0,20,33,51,50,0,0,2,30
3,0,16,18,65,7,0,0,1,31
4,0,13,53,11,29,0,0,3,32
5,0,21,2,23,75,0,0,1,33
6,1,5,16,25,40,0,0,1,34
7,1,12,92,51,43,1,1,4,35
1,0,4,1,2,31,0,0,1,36
2,0,6,13,42,29,0,0,1,37
3,0,0,23,39,100,0,0,1,38
4,0,2,60,19,18,0,0,3,39
5,0,14,50,50,21,0,0,3,40
6,1,21,79,35,23,0,1,4,41
7,1,15,28,44,62,0,0,2,42
1,0,23,84,19,1,0,1,4,43
2,0,20,65,48,12,0,0,3,44
3,0,19,73,6,6,0,0,3,45
4,0,7,35,33,73,0,0,2,46
5,0,11,50,18,24,0,0,3,47
6,1,18,89,12,43,1,1,4,48
7,1,7,99,22,10,1,1,4,49
1,0,0,59,13,89,0,0,3,50
2,0,22,56,83,81,0,0,3,51
3,0,12,74,66,98,0,0,3,52
4,0,13,25,4,98,0,0,1,53
5,0,11,71,6,70,0,0,3,54
6,1,23,84,94,3,0,1,4,55
7,1,8,10,53,79,0,0,1,56
1,0,6,44,95,81,0,0,2,57
2,0,20,29,64,66,0,0,2,58
3,0,12,22,41,51,0,0,1,59
4,0,23,58,75,100,0,0,3,60
5,0,3,35,66,49,0,0,2,61
6,1,7,52,29,100,0,0,3,62
7,1,12,42,54,82,0,0,2,63
1,0,19,86,59,65,1,1,4,64
2,0,16,85,23,51,1,1,4,65
3,0,11,30,58,54,0,0,2,66
4,0,4,98,19,60,1,1,4,67
5,0,7,21,95,40,0,0,1,68
6,1,8,20,14,7,0,0,1,69
7,1,19,23,49,30,0,0,1,70
1,0,8,7,45,0,0,0,1,71
2,0,1,30,3,92,0,0,2,72
3,0,6,72,43,34,0,0,3,73
4,0,6,54,33,61,0,0,3,74
5,0,15,32,60,85,0,0,2,75
6,1,19,91,40,52,1,1,4,76
7,1,18,17,3,78,0,0,1,77
1,0,23,30,44,90,0,0,2,78
2,0,17,49,42,7,0,0,2,79
3,0,18,93,4,97,1,1,4,80
4,0,20,69,25,98,0,0,3,81
5,0,21,65,80,74,0,0,3,82
6,1,10,72,73,12,0,0,3,83
7,1,4,10,38,41,0,0,1,84
1,0,7,44,77,42,0,0,2,85
2,0,10,89,24,100,1,1,4,86
3,0,8,57,11,52,0,0,3,87
4,0,6,61,84,82,0,0,3,88
5,0,5,81,46,36,0,1,4,89
6,1,12,37,29,11,0,0,2,90
7,1,10,39,99,27,0,0,2,91
1,0,22,9,1,37,0,0,1,92
2,0,13,36,53,73,0,0,2,93
3,0,23,22,22,72,0,0,1,94
4,0,2,41,72,14,0,0,2,95
5,0,17,89,48,27,1,1,4,96
